video_url,author,text,time,votes,is_reply
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@sethasante-rm3wd,lebron,6 months ago,5,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Rapboykkk,Virat kohli ❤,6 months ago,104,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Black_hole5903,Messi,6 months ago,17,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@jacobwebb4421,Shaquille O’Neal,6 months ago,3,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Ronaldo_edit_offical7,I think messi,6 months ago,13,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@ivandenelzen,First,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Umpohliew97,Messi,6 months ago,14,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@fznmnmt,y,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Elsofiomdq,Messi!!!!!,6 months ago,16,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@amartyavats,Virat kohli or any indian cricketer!!!!!,6 months ago,69,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@fifakid2023,Messi,6 months ago,20,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@alanebarrosreceitadeviver9564,Lionel messi,6 months ago,17,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Ai-rk3cy,"Roberto carlos?
power shoot",6 months ago,6,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Mangabs1,CAÇA RATO,6 months ago,6,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@viceprincipalcriticismine,This First is mine.,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@brikmanager37,Sebastian Vettel🎉,6 months ago,7,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@sheshraj31,Messi or lamine yamal .,6 months ago,10,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@shortsking-d3z,Virat Kohli,6 months ago,57,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Truckkun-op,Messi,6 months ago,10,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Super_Sam2510,Messi,6 months ago,9,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@zubayer.ahmmad.11,Messi,6 months ago,7,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@mohakal2191,Cricket 🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏🏏 king Koli 🎉🎉🎉❤❤❤😮😮😮😮😊😊😊,6 months ago,36,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@sivabalankannan790,Virat kohli,6 months ago,60,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Brickwall103,42nd💀,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@kevindubon4881,You should get messi or lamine yamal,6 months ago,3,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@ivandenelzen,45st,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@fhlfgpgjpgg,Messi,6 months ago,11,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Neeshus121,Ms dhoni 💛💛💛,6 months ago,28,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Vyusysndjs,Can I get a hello,6 months ago,3,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@CricketLover-m3h,Lionel Messi,6 months ago,9,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@fznmnmt,ANTHONY,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Semplicemente_pazza,Lionel messi,6 months ago,7,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@rafa_slapelis,🐳,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@user-ww7kk5xq8m,Shohei Ohtani,6 months ago,29,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@KitchenAndVlogVibes,Nice Video ❤️😍😍,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@LioEdgeller,Usain Bolt,6 months ago,6,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@PollPosters,Conner McDavid,6 months ago,8,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Cayden-z4u,All of em,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@unik-edition446,Virat Kohli ❤,6 months ago,28,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@DogzGT12,Mppape,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Truckkun-op,Messi,6 months ago,7,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@AbdullahAlhamalawy,Mo Salah❤🇾🇪,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@StrawberriCurtis-n7o,Mbappe,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@RaianAhmed369,Messi😊,6 months ago,10,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Dileep-yn9pk,Virat Kohli,6 months ago,36,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Monte-f9k,3 минута с выхода,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@limo-o1n,Virat kholi,6 months ago,24,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Jamir_network,❤❤,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@808ef,messi,6 months ago,5,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@tanuwondervlogs,MS Dhoni,6 months ago,10,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Semplicemente_pazza,Lamine Yamal,6 months ago,3,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@BenEyomen,İlk,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Mrrajasingh,Virat Kohli /Ms Dhoni❤❤❤,6 months ago,23,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@chaudharisunilbhai8207,Virat Kohli,6 months ago,27,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@number1klayfan,klay thompson,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Justinsamuelll,Messi,6 months ago,6,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@lculylecinematicuniverse4086,Messi or Mbappé,6 months ago,5,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Truckkun-op,U r dad,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Crazykidluke,Lebroooooon,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@YoNoob-wf9wz,LeBron james,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Kymskaya_kyma,pls get ronalda again i begg u sm for me,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Trevso-mb2wd,MESIIIIIIIIIII,6 months ago,10,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@mikeybgmi8875,David goggins,6 months ago,3,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@warantoniorizo5242,🎉🎉🎉🎉,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@yeasinarafat3969,Leo messi,6 months ago,4,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@realspecterx,Antony,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@kukucaunn,yo,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@abuustore337,Aim indonesia,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@JonathanLucas-e2f,Hello @Mrbeast🎉🎉🎉🎉🎉,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Cayeofficialcayeofficial,129,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Glennquagmire455,it look wo cool,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@EderMamani-j7y,😅,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@MehediHasan-b1r8d,Leo messi,6 months ago,8,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@nonamr45342,Love you mrbeast❤❤❤,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@vin_xin,Messi,6 months ago,8,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@VipulN-m4q4t,Mbape,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Betkarharshad,Virat Kohli 🎉,6 months ago,15,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@pepehimovic3135,Ibra,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@SalahuddinAyubii,Messi,6 months ago,6,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Samsays._.18-r3l,"Virat Kohli pls....
you'll get lots of love from all Indians",6 months ago,20,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Nuzukuyamada,Messi,6 months ago,6,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@ayannakeels7530,LeBron James,6 months ago,3,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@saimashahid8897,Messi,6 months ago,8,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Semplicemente_pazza,Halland,6 months ago,2,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@Benjiedits926,Rugby league,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@hehechicken99,M bappe YOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOOO,6 months ago,1,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@JaMEzdapolo,Michael Jordan,6 months ago,0,False
https://youtu.be/DZIASl9q90s?si=56faVqrrQ9AiQZph,@AbdulRahman-pd5ho,Antony 🇧🇷🐐,6 months ago,1,False
